ano,mes,hora,tipo_crime,bairro,latitude,longitude,qtd_ocorrencias
2022,6,19,Furto,São Miguel,-23.483976,-46.439399,1
2022,2,3,Roubo,Lapa,-23.524558,-46.714118,2
2022,7,6,Furto de Veículo,Brasilândia,-23.448558,-46.699288,1
2022,11,9,Lesão Corporal,Brasilândia,-23.429461,-46.710222,1
2022,4,20,Furto de Veículo,Ipiranga,-23.583901,-46.612436,3
2023,7,20,Roubo de Veículo,Cidade Tiradentes,-23.595683,-46.392215,2
2022,8,8,Furto,Cidade Tiradentes,-23.598484,-46.377001,2
2022,11,8,Furto,Guaianazes,-23.551843,-46.376598,1
2023,11,23,Furto de Veículo,São Miguel,-23.484667,-46.445337,1
2023,1,5,Furto,Casa Verde,-23.487108,-46.644929,1
2023,10,8,Roubo,Sacomã,-23.601254,-46.579941,1
2024,12,18,Furto de Veículo,Guaianazes,-23.561386,-46.39181,1
2022,12,21,Roubo,Brás,-23.547675,-46.625147,1
2022,7,18,Furto de Veículo,Consolação,-23.560696,-46.648024,1
2022,5,10,Roubo,Sacomã,-23.592231,-46.58078,1
2022,9,14,Roubo,Santo Amaro,-23.656043,-46.717391,3
2024,10,11,Roubo,Cidade Tiradentes,-23.595372,-46.388052,2
2022,1,9,Furto,Sacomã,-23.599661,-46.595048,1
2022,12,18,Furto de Veículo,São Miguel,-23.483575,-46.440343,1
2022,7,8,Roubo de Veículo,Lapa,-23.52447,-46.704701,2
2022,8,6,Tráfico de Entorpecentes,Bela Vista,-23.566962,-46.641744,1
2023,10,20,Roubo de Veículo,Campo Limpo,-23.640516,-46.758529,2
2023,8,9,Furto,Itaquera,-23.528753,-46.458802,1
2023,8,3,Furto de Veículo,Itaim Bibi,-23.586037,-46.686663,1
2022,7,18,Furto,Barra Funda,-23.531229,-46.655969,2
2022,7,12,Roubo,Brás,-23.552367,-46.613512,2
2023,1,22,Furto de Veículo,Casa Verde,-23.486629,-46.656981,1
2024,9,19,Roubo,Penha,-23.515185,-46.551571,2
2024,11,19,Roubo,Capão Redondo,-23.673325,-46.749871,2
2023,10,16,Roubo,São Miguel,-23.47133,-46.454888,1
2023,6,8,Furto,Itaim Bibi,-23.581141,-46.670295,1
2023,2,14,Lesão Corporal,Ipiranga,-23.599688,-46.597801,2
2024,1,19,Furto,Brás,-23.538557,-46.620696,3
2024,2,16,Furto,Pinheiros,-23.558437,-46.681413,1
2024,12,5,Furto de Veículo,Bela Vista,-23.556486,-46.648821,2
2024,7,12,Roubo,Pirituba,-23.46758,-46.732854,2
2023,11,17,Furto,Brás,-23.548097,-46.629466,1
2023,2,15,Roubo,Pirituba,-23.467496,-46.741234,1
2024,8,18,Tráfico de Entorpecentes,São Miguel,-23.489341,-46.447395,1
2024,8,14,Lesão Corporal,Sacomã,-23.590801,-46.591366,2
2023,8,9,Tráfico de Entorpecentes,Santo Amaro,-23.653635,-46.704604,1
2022,8,8,Lesão Corporal,Brooklin,-23.620399,-46.692669,2
2022,9,22,Furto,Vila Guilherme,-23.503919,-46.621494,1
2024,12,14,Furto de Veículo,Sacomã,-23.610445,-46.589033,2
2024,6,14,Roubo,Mooca,-23.549821,-46.591921,1
2023,5,9,Roubo de Veículo,Itaquera,-23.536183,-46.461168,1
2022,4,8,Roubo de Veículo,Liberdade,-23.551755,-46.625235,1
2022,4,10,Furto,Sacomã,-23.587349,-46.591429,1
2022,9,10,Furto,Santana,-23.501085,-46.631018,3
2023,8,14,Furto,Itaim Bibi,-23.586935,-46.680722,1
2022,7,14,Furto,Pirituba,-23.469248,-46.718088,1
2022,4,6,Tráfico de Entorpecentes,Bela Vista,-23.548543,-46.632091,2
2023,8,10,Roubo,Brooklin,-23.617551,-46.699535,1
2022,4,17,Tráfico de Entorpecentes,Itaquera,-23.538562,-46.455179,1
2023,8,18,Furto,Brás,-23.543355,-46.608883,1
2022,11,9,Lesão Corporal,Centro,-23.549547,-46.629664,1
2022,9,8,Furto,Cidade Tiradentes,-23.609203,-46.398722,1
2024,12,20,Roubo de Veículo,Lapa,-23.522242,-46.701813,3
2023,9,15,Roubo,Guaianazes,-23.553681,-46.388669,1
2022,2,9,Furto de Veículo,Brooklin,-23.608991,-46.702342,1
2023,10,1,Roubo de Veículo,São Miguel,-23.492399,-46.444853,2
2024,7,17,Furto,Guaianazes,-23.557331,-46.404506,1
2022,6,13,Furto de Veículo,Mooca,-23.556159,-46.598118,1
2022,6,9,Furto,Consolação,-23.565965,-46.651081,1
2024,8,13,Furto,Ipiranga,-23.58013,-46.618208,1
2022,5,16,Roubo de Veículo,Penha,-23.526546,-46.553202,3
2024,4,18,Homicídio,Guaianazes,-23.5483,-46.393857,1
2022,8,22,Lesão Corporal,Centro,-23.55278,-46.632881,1
2023,8,23,Roubo de Veículo,Sé,-23.54394,-46.635729,1
2022,2,10,Roubo,Campo Limpo,-23.647444,-46.743934,2
2023,12,10,Lesão Corporal,Itaquera,-23.527277,-46.457824,1
2023,6,16,Roubo,Pirituba,-23.473528,-46.733705,1
2024,7,9,Furto de Veículo,Guaianazes,-23.549255,-46.385344,2
2023,11,19,Lesão Corporal,Centro,-23.548416,-46.648497,1
2023,2,21,Tráfico de Entorpecentes,Sé,-23.545945,-46.633911,1
2024,3,3,Roubo,Campo Limpo,-23.646342,-46.752576,2
2023,11,20,Furto,Lapa,-23.529756,-46.709632,1
2022,10,3,Lesão Corporal,Santana,-23.502637,-46.640244,1
2022,11,18,Roubo,Brasilândia,-23.420743,-46.695214,1
2022,5,11,Roubo,Sé,-23.550593,-46.631154,1
2022,2,17,Furto,Lapa,-23.534305,-46.697645,1
2024,5,14,Furto,Consolação,-23.565582,-46.658845,1
2022,8,22,Roubo,Brasilândia,-23.440432,-46.693573,3
2023,4,23,Roubo,Santana,-23.488098,-46.629895,2
2024,5,0,Furto,Mooca,-23.557544,-46.598883,2
2022,10,19,Roubo de Veículo,Penha,-23.511009,-46.541186,2
2022,11,8,Lesão Corporal,Brasilândia,-23.433068,-46.70071,1
2022,11,17,Furto,Ipiranga,-23.588675,-46.619018,1
2023,6,19,Furto,Guaianazes,-23.558399,-46.396227,1
2023,3,9,Roubo,Sé,-23.570688,-46.63823,2
2022,8,22,Roubo,Capão Redondo,-23.667394,-46.771429,1
2024,6,4,Homicídio,Pirituba,-23.460806,-46.743887,1
2023,10,12,Roubo de Veículo,Lapa,-23.518527,-46.698624,1
2024,6,21,Furto de Veículo,Penha,-23.53111,-46.550046,1
2023,2,6,Roubo,Brás,-23.536153,-46.634677,3
2022,7,14,Lesão Corporal,Santana,-23.503614,-46.626832,1
2022,7,17,Roubo de Veículo,Sacomã,-23.589137,-46.592777,2
2022,8,13,Furto de Veículo,Moema,-23.594988,-46.670422,1
2024,6,2,Tráfico de Entorpecentes,Penha,-23.5194,-46.542915,1
2022,11,17,Furto,Pirituba,-23.454842,-46.738698,3
2022,2,20,Roubo de Veículo,Brás,-23.556015,-46.598243,1
2024,1,10,Roubo de Veículo,Santo Amaro,-23.648751,-46.715376,3
2022,3,0,Furto,Pirituba,-23.482865,-46.73758,2
2024,7,15,Furto,Lapa,-23.526213,-46.699572,2
2024,4,22,Furto,Capão Redondo,-23.670319,-46.768452,1
2022,1,23,Roubo,Cidade Tiradentes,-23.590487,-46.398205,2
2022,6,17,Roubo,Itaquera,-23.526166,-46.446075,1
2024,9,10,Roubo,Barra Funda,-23.533761,-46.672485,1
2024,12,21,Furto de Veículo,Itaquera,-23.534945,-46.4578,1
2024,2,10,Roubo,Brasilândia,-23.44685,-46.68727,1
2022,2,4,Roubo,Lapa,-23.512324,-46.707504,1
2024,9,11,Furto de Veículo,Sacomã,-23.59314,-46.599441,1
2024,1,23,Lesão Corporal,Vila Guilherme,-23.519759,-46.624485,1
2022,2,11,Furto de Veículo,Vila Guilherme,-23.517883,-46.615602,1
2024,10,17,Roubo,Mooca,-23.553023,-46.598363,1
2022,5,18,Furto,Centro,-23.534422,-46.642485,1
2023,2,6,Furto de Veículo,Vila Guilherme,-23.496856,-46.61238,1
2023,3,12,Roubo,Centro,-23.548136,-46.641567,2
2022,10,2,Furto,Ipiranga,-23.593072,-46.608389,1
2022,9,5,Roubo,Guaianazes,-23.556712,-46.384975,1
2022,4,12,Furto de Veículo,Barra Funda,-23.531013,-46.673321,1
2023,5,11,Furto,Centro,-23.54975,-46.630774,1
2024,9,20,Roubo de Veículo,Sacomã,-23.593478,-46.583012,2
2022,6,16,Furto,Brás,-23.542481,-46.620796,1
2023,3,19,Furto,Bela Vista,-23.56044,-46.642043,1
2022,7,16,Lesão Corporal,São Miguel,-23.487991,-46.44566,1
2022,2,15,Roubo,Penha,-23.529694,-46.53523,1
2024,3,9,Roubo de Veículo,Capão Redondo,-23.665841,-46.763134,1
2022,11,14,Furto de Veículo,Liberdade,-23.569817,-46.640111,2
2024,10,11,Furto de Veículo,Ipiranga,-23.607241,-46.601267,3
2023,10,2,Furto de Veículo,Santana,-23.508363,-46.623674,1
2022,11,20,Lesão Corporal,Santana,-23.502614,-46.626185,2
2024,1,13,Furto de Veículo,Moema,-23.609908,-46.668396,2
2022,8,5,Furto,Jardins,-23.575949,-46.653812,2
2022,12,13,Furto,Vila Guilherme,-23.515108,-46.622244,1
2023,6,18,Furto,Capão Redondo,-23.667808,-46.752508,1
2023,5,9,Furto de Veículo,Itaim Bibi,-23.590629,-46.670833,2
2024,3,21,Furto,Pirituba,-23.472649,-46.736747,1
2022,5,16,Roubo de Veículo,Consolação,-23.557205,-46.662579,1
2024,9,4,Tráfico de Entorpecentes,Vila Guilherme,-23.504343,-46.604034,1
2023,8,8,Tráfico de Entorpecentes,Capão Redondo,-23.665169,-46.758214,3
2024,12,21,Roubo,Sé,-23.553999,-46.619486,1
2022,3,20,Roubo,Vila Guilherme,-23.512566,-46.617218,2
2024,12,9,Roubo,Cidade Tiradentes,-23.592655,-46.383597,1
2023,8,21,Roubo,Barra Funda,-23.52708,-46.673733,1
2023,9,15,Roubo de Veículo,Consolação,-23.562792,-46.662692,3
2024,8,21,Furto,Cidade Tiradentes,-23.595618,-46.395142,1
2022,5,13,Furto,Mooca,-23.543151,-46.616866,1
2023,1,13,Lesão Corporal,Cidade Tiradentes,-23.582262,-46.381423,1
2023,2,20,Furto,Penha,-23.529492,-46.539835,1
2024,3,19,Lesão Corporal,Cidade Tiradentes,-23.592731,-46.385995,1
2022,9,22,Furto,Moema,-23.599699,-46.668874,1
2022,7,17,Furto,Itaquera,-23.535035,-46.459814,1
2024,9,16,Roubo,Brás,-23.539121,-46.627054,2
2022,11,18,Furto de Veículo,Barra Funda,-23.519537,-46.664927,1
2024,9,0,Roubo de Veículo,Penha,-23.5174,-46.544894,2
2023,2,11,Roubo de Veículo,Centro,-23.553861,-46.630954,2
2022,6,16,Roubo,Itaim Bibi,-23.585244,-46.689923,2
2024,3,20,Furto de Veículo,Liberdade,-23.557372,-46.640793,1
2022,1,11,Furto,Ipiranga,-23.596434,-46.605248,1
2024,4,10,Furto,Itaquera,-23.532381,-46.462306,2
2023,7,19,Roubo de Veículo,Centro,-23.551568,-46.641303,2
2024,5,19,Roubo,Penha,-23.51776,-46.54354,2
2023,2,3,Roubo,Brás,-23.555895,-46.627926,1
2023,8,1,Furto de Veículo,Santana,-23.506738,-46.632067,2
2022,2,18,Homicídio,Vila Guilherme,-23.506591,-46.613074,1
2024,11,19,Furto,Capão Redondo,-23.672003,-46.763724,1
2024,1,17,Roubo,Brás,-23.542638,-46.626519,1
2024,6,12,Furto de Veículo,Casa Verde,-23.512418,-46.649221,1
2023,9,6,Roubo,Lapa,-23.514127,-46.695465,2
2023,4,6,Furto de Veículo,Bela Vista,-23.55457,-46.633265,2
2024,6,18,Furto,Guaianazes,-23.540018,-46.395162,2
2024,12,17,Furto,Campo Limpo,-23.635695,-46.74946,2
2023,1,12,Furto,Capão Redondo,-23.668125,-46.755298,1
2022,5,12,Lesão Corporal,Guaianazes,-23.542806,-46.390449,2
2022,6,17,Furto de Veículo,Capão Redondo,-23.678954,-46.754635,1
2024,10,8,Roubo de Veículo,Consolação,-23.564181,-46.645401,3
2022,5,7,Furto,Itaquera,-23.533713,-46.455437,1
2022,5,8,Lesão Corporal,Bela Vista,-23.567796,-46.628331,3
2024,3,16,Furto,Barra Funda,-23.534809,-46.672811,1
2024,1,20,Roubo,Liberdade,-23.571232,-46.644153,1
2024,7,17,Furto de Veículo,Centro,-23.554613,-46.644144,1
2022,11,13,Roubo,Brasilândia,-23.444998,-46.698239,1
2023,10,6,Roubo,Bela Vista,-23.552473,-46.637053,2
2023,9,16,Roubo,Santana,-23.492657,-46.627554,1
2023,7,20,Furto,Guaianazes,-23.547662,-46.383997,1
2024,6,8,Tráfico de Entorpecentes,Pirituba,-23.457015,-46.742444,1
2022,7,15,Roubo,Pirituba,-23.485088,-46.730596,3
2024,11,14,Roubo,Pinheiros,-23.564552,-46.679943,1
2023,6,2,Roubo de Veículo,São Miguel,-23.506019,-46.437039,1
2023,9,10,Roubo,Campo Limpo,-23.638288,-46.75098,3
2023,9,22,Roubo,Consolação,-23.539042,-46.644237,2
2022,12,11,Furto,Pinheiros,-23.572405,-46.68254,1
2024,6,7,Roubo,Guaianazes,-23.554563,-46.395963,3
2024,8,18,Lesão Corporal,Sacomã,-23.599206,-46.583099,1
2024,5,19,Homicídio,Cidade Tiradentes,-23.605107,-46.382187,2
2024,10,9,Tráfico de Entorpecentes,Bela Vista,-23.548051,-46.642487,1
2023,3,20,Roubo de Veículo,Capão Redondo,-23.684638,-46.760939,1
2023,3,13,Roubo,Santo Amaro,-23.652592,-46.714956,1
2024,1,18,Lesão Corporal,Capão Redondo,-23.678909,-46.764824,1
2022,8,21,Roubo,Campo Limpo,-23.624874,-46.756108,1
2024,5,17,Furto de Veículo,Vila Guilherme,-23.51124,-46.62566,1
2023,5,18,Homicídio,Lapa,-23.529334,-46.706038,1
2024,5,10,Tráfico de Entorpecentes,Capão Redondo,-23.682176,-46.757702,1
2022,5,1,Roubo,Campo Limpo,-23.627644,-46.760882,3
2022,4,20,Roubo de Veículo,Brás,-23.53362,-46.62437,1
2022,4,2,Roubo de Veículo,Campo Limpo,-23.634521,-46.752188,3
2023,2,18,Roubo,Vila Madalena,-23.552604,-46.686345,1
2023,8,17,Furto de Veículo,Pirituba,-23.464354,-46.734649,2
2024,10,9,Roubo de Veículo,Barra Funda,-23.527617,-46.662275,2
2022,1,23,Roubo,São Miguel,-23.473447,-46.439809,1
2022,1,10,Tráfico de Entorpecentes,Capão Redondo,-23.653132,-46.766939,1
2024,8,21,Furto de Veículo,Brasilândia,-23.438484,-46.687422,1
2024,8,17,Roubo,Capão Redondo,-23.674081,-46.744597,2
2022,3,17,Furto de Veículo,Centro,-23.551481,-46.630288,1
2022,3,23,Roubo,Itaquera,-23.542409,-46.450871,1
2023,6,10,Roubo,Casa Verde,-23.495138,-46.658662,2
2022,8,10,Furto,Centro,-23.554992,-46.646108,1
2022,11,21,Roubo,Capão Redondo,-23.662137,-46.766639,1
2024,10,12,Furto,Moema,-23.600174,-46.663796,2
2022,11,19,Lesão Corporal,Brasilândia,-23.433335,-46.709382,2
2024,2,2,Furto,Brás,-23.555787,-46.614902,1
2024,8,5,Roubo,Capão Redondo,-23.676091,-46.761011,1
2023,3,15,Lesão Corporal,Santo Amaro,-23.642958,-46.704829,1
2023,5,20,Roubo de Veículo,Brás,-23.558106,-46.615602,2
2022,2,23,Furto,Santo Amaro,-23.643943,-46.707936,1
2024,11,22,Furto de Veículo,Barra Funda,-23.525162,-46.661095,1
2022,11,23,Roubo,Brasilândia,-23.450929,-46.689327,2
2023,9,6,Homicídio,Sé,-23.547432,-46.636093,3
2024,9,13,Roubo,São Miguel,-23.49014,-46.466151,1
2024,2,1,Furto,Vila Madalena,-23.557504,-46.688863,1
2022,2,16,Furto,Moema,-23.585553,-46.674542,1
2023,4,15,Furto,Consolação,-23.550837,-46.663312,2
2024,10,11,Furto,Ipiranga,-23.573837,-46.587429,1
2024,9,8,Furto,Consolação,-23.557913,-46.652877,1
2024,11,13,Tráfico de Entorpecentes,Brás,-23.528389,-46.624233,1
2023,12,13,Roubo de Veículo,Pirituba,-23.45786,-46.738283,1
2023,12,7,Lesão Corporal,Penha,-23.526749,-46.551058,1
2023,4,9,Roubo,Brás,-23.551085,-46.614669,1
2022,1,9,Roubo,Brás,-23.551324,-46.616609,1
2024,11,16,Roubo de Veículo,Brooklin,-23.615379,-46.697684,1
2022,12,6,Furto,São Miguel,-23.500995,-46.426595,3
2022,9,11,Furto,Capão Redondo,-23.671493,-46.748117,1
2023,8,4,Roubo,Guaianazes,-23.551083,-46.395526,3
2023,1,16,Roubo,Guaianazes,-23.537522,-46.40499,1
2023,5,7,Furto de Veículo,Sé,-23.551264,-46.614351,1
2024,6,9,Furto de Veículo,Penha,-23.522294,-46.550148,2
2023,3,6,Furto,Pirituba,-23.474846,-46.741222,1
2024,1,20,Tráfico de Entorpecentes,Liberdade,-23.540288,-46.647606,1
2024,4,3,Furto,Cidade Tiradentes,-23.596136,-46.390728,1
2024,8,18,Furto de Veículo,Vila Madalena,-23.555718,-46.689229,1
2024,5,0,Roubo de Veículo,Campo Limpo,-23.635247,-46.755223,2
2022,9,7,Furto,Consolação,-23.548935,-46.675466,1
2023,7,14,Roubo,Campo Limpo,-23.631486,-46.761788,1
2024,1,4,Furto,Bela Vista,-23.561637,-46.629722,1
2023,7,17,Furto,Campo Limpo,-23.632965,-46.755619,1
2022,4,21,Tráfico de Entorpecentes,Pirituba,-23.452251,-46.736778,1
2023,9,16,Furto de Veículo,Santo Amaro,-23.653401,-46.69199,1
2024,7,22,Furto de Veículo,Brasilândia,-23.442047,-46.676237,1
2024,6,12,Furto de Veículo,Campo Limpo,-23.648221,-46.762335,2
2023,1,4,Roubo de Veículo,Cidade Tiradentes,-23.598203,-46.394001,1
2023,1,17,Furto de Veículo,Brás,-23.552713,-46.625773,2
2022,11,16,Roubo,Guaianazes,-23.54561,-46.379943,1
2023,3,12,Furto,Ipiranga,-23.591693,-46.601225,2
2023,8,11,Furto,Sé,-23.555819,-46.628163,1
2023,2,0,Furto de Veículo,Sé,-23.546653,-46.624935,1
2023,7,12,Roubo,Mooca,-23.557783,-46.608094,1
2022,11,12,Furto de Veículo,Brasilândia,-23.415684,-46.707413,1
2023,5,14,Roubo,Santana,-23.50289,-46.626875,1
2022,8,5,Furto de Veículo,Lapa,-23.52376,-46.692797,1
2023,8,11,Lesão Corporal,Casa Verde,-23.508498,-46.649321,2
2024,4,14,Roubo,São Miguel,-23.486729,-46.444698,1
2024,4,11,Furto de Veículo,Itaquera,-23.541486,-46.442175,1
2024,3,18,Furto,Cidade Tiradentes,-23.609271,-46.377084,1
2023,12,3,Roubo,Casa Verde,-23.515196,-46.656001,2
2023,11,7,Roubo,Cidade Tiradentes,-23.599038,-46.394877,1
2024,9,22,Furto de Veículo,Penha,-23.537251,-46.538603,2
2024,10,17,Roubo de Veículo,Itaquera,-23.515528,-46.449185,1
2022,10,23,Furto de Veículo,Ipiranga,-23.594109,-46.613265,1
2022,2,9,Roubo,Itaquera,-23.53565,-46.474776,1
2023,8,19,Roubo,Capão Redondo,-23.681157,-46.764073,1
2023,2,5,Furto,Capão Redondo,-23.673003,-46.757524,3
2023,6,14,Furto,Sé,-23.553344,-46.62484,1
2022,1,20,Lesão Corporal,Bela Vista,-23.559836,-46.637863,1
2022,9,7,Furto,Consolação,-23.543217,-46.63926,1
2024,11,13,Furto,Casa Verde,-23.502073,-46.6509,1
2024,4,8,Roubo,Moema,-23.597518,-46.657866,2
2022,6,11,Lesão Corporal,Cidade Tiradentes,-23.593577,-46.38958,1
2024,7,17,Furto de Veículo,Lapa,-23.51763,-46.711446,1
2024,5,21,Lesão Corporal,Vila Guilherme,-23.506737,-46.622151,1
2023,12,6,Furto,Consolação,-23.557284,-46.653553,1
2024,12,22,Roubo,Brooklin,-23.62648,-46.6978,3
2023,10,2,Furto,Liberdade,-23.555705,-46.626276,1
2024,11,14,Tráfico de Entorpecentes,Centro,-23.538384,-46.624879,1
2022,4,10,Furto,Itaquera,-23.53104,-46.461827,1
2023,9,15,Roubo de Veículo,Campo Limpo,-23.629652,-46.748297,1
2022,12,13,Roubo,Barra Funda,-23.55063,-46.671561,1
2022,8,9,Furto,Itaquera,-23.537024,-46.465605,2
2022,12,16,Lesão Corporal,Brás,-23.541351,-46.621994,1
2022,4,20,Furto,Bela Vista,-23.560238,-46.647571,1
2023,5,16,Homicídio,Campo Limpo,-23.637986,-46.758777,3
2023,1,23,Furto,Capão Redondo,-23.660098,-46.767629,2
2022,11,12,Roubo de Veículo,Sé,-23.545959,-46.637521,1
2022,7,15,Furto,Itaim Bibi,-23.592388,-46.682582,1
2022,12,4,Roubo,Casa Verde,-23.516333,-46.644635,3
2023,4,23,Roubo de Veículo,Itaim Bibi,-23.592068,-46.691739,2
2022,10,20,Roubo,Capão Redondo,-23.674888,-46.753139,2
2023,1,6,Furto de Veículo,Brasilândia,-23.433811,-46.697446,2
2024,3,21,Furto,Guaianazes,-23.526854,-46.389914,1
2022,6,18,Roubo,São Miguel,-23.488471,-46.446479,1
2023,11,4,Roubo de Veículo,Brás,-23.553068,-46.628137,1
2023,1,0,Roubo,Pinheiros,-23.553525,-46.67695,1
2022,7,4,Roubo,Sé,-23.542132,-46.64247,2
2022,11,23,Roubo,Mooca,-23.556543,-46.599012,1
2024,4,17,Roubo,Campo Limpo,-23.622424,-46.755383,1
2022,3,19,Furto,Itaquera,-23.542156,-46.468619,1
2023,11,4,Furto,Penha,-23.520232,-46.543591,1
2024,5,8,Furto de Veículo,Brooklin,-23.629843,-46.702697,1
2022,8,12,Roubo de Veículo,Liberdade,-23.567966,-46.624748,1
2023,6,6,Furto,Itaim Bibi,-23.571877,-46.669766,2
2022,1,16,Roubo de Veículo,Santo Amaro,-23.659042,-46.700925,1
2023,11,18,Roubo,Pinheiros,-23.545765,-46.691114,2
2022,5,4,Roubo,Itaquera,-23.545354,-46.447407,1
2024,11,19,Roubo,Brasilândia,-23.429411,-46.695747,1
2022,1,9,Tráfico de Entorpecentes,Itaim Bibi,-23.590168,-46.669024,3
2024,12,7,Furto de Veículo,Mooca,-23.554049,-46.605745,1
2024,12,9,Roubo,Sé,-23.540653,-46.632332,1
2022,6,20,Furto,Sacomã,-23.587897,-46.599281,1
2023,9,11,Furto,Brás,-23.54646,-46.629197,1
2024,11,18,Furto,Santo Amaro,-23.655138,-46.705464,1
2023,6,12,Furto,Capão Redondo,-23.656658,-46.754643,1
2024,11,13,Tráfico de Entorpecentes,Casa Verde,-23.496654,-46.666922,1
2023,2,15,Furto,Itaquera,-23.537181,-46.460254,3
2022,8,21,Tráfico de Entorpecentes,Liberdade,-23.551438,-46.653282,2
2023,10,19,Roubo,Santana,-23.492433,-46.622435,2
2022,12,21,Homicídio,Lapa,-23.538464,-46.688258,2
2023,11,20,Furto,Lapa,-23.515788,-46.703671,2
2024,5,5,Lesão Corporal,Casa Verde,-23.491293,-46.658892,1
2024,5,4,Homicídio,Lapa,-23.526808,-46.703859,3
2024,2,16,Roubo,Brasilândia,-23.446333,-46.696539,1
2024,3,9,Furto,Itaim Bibi,-23.595436,-46.670401,1
2023,8,10,Roubo de Veículo,Santana,-23.496099,-46.638798,1
2022,8,14,Furto,Pinheiros,-23.561017,-46.692419,1
2023,2,4,Roubo,Campo Limpo,-23.628676,-46.757203,2
2023,3,4,Furto,Santana,-23.503054,-46.637441,1
2022,1,22,Furto,Vila Guilherme,-23.524987,-46.614016,2
2022,2,0,Furto,Campo Limpo,-23.637394,-46.757105,2
2024,11,4,Roubo,Pirituba,-23.458846,-46.72309,1
2024,8,20,Furto,Brasilândia,-23.409587,-46.682564,1
2022,3,22,Tráfico de Entorpecentes,São Miguel,-23.489521,-46.447814,1
2023,4,21,Roubo,Sacomã,-23.604856,-46.589809,1
2024,5,15,Furto de Veículo,Guaianazes,-23.540434,-46.381125,2
2024,9,9,Roubo,Capão Redondo,-23.665302,-46.754883,3
2023,9,19,Roubo de Veículo,Campo Limpo,-23.626204,-46.755038,1
2024,4,1,Furto,Santo Amaro,-23.653763,-46.704279,2
2024,4,23,Roubo,Barra Funda,-23.523744,-46.67343,1
2022,4,16,Tráfico de Entorpecentes,Consolação,-23.556527,-46.644353,3
2022,10,11,Furto,Penha,-23.504304,-46.551787,2
2024,10,6,Roubo,Penha,-23.537466,-46.548787,3
2022,8,1,Roubo,São Miguel,-23.483137,-46.463715,1
2024,4,20,Roubo,Brooklin,-23.60995,-46.692861,1
2022,10,18,Furto,Liberdade,-23.55379,-46.64724,1
2024,11,12,Furto,Mooca,-23.559519,-46.605254,1
2024,8,17,Tráfico de Entorpecentes,Santana,-23.496935,-46.623459,1
2022,11,16,Roubo de Veículo,Pirituba,-23.475387,-46.751248,1
2024,10,12,Roubo de Veículo,Santana,-23.501574,-46.630868,3
2024,4,17,Tráfico de Entorpecentes,Pirituba,-23.458359,-46.731805,1
2023,3,17,Roubo,Capão Redondo,-23.673572,-46.75619,3
2022,5,8,Roubo,Cidade Tiradentes,-23.603229,-46.402334,1
